course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK2IAB3,Keamanan Sistem Informasi,5,0.7999,li_4403509120,Software Engineer,KIHOMAC,linkedin
BBK2IAB3,Keamanan Sistem Informasi,6,0.7998,gd_1010011121137,Researcher (Contract),Civitech,glassdoor
BBK2IAB3,Keamanan Sistem Informasi,7,0.7995,li_4363726700,Software Engineer,Oso,linkedin
BBK2IAB3,Keamanan Sistem Informasi,8,0.7992,li_4427868416,Software Engineer-EN,CAE,linkedin
BBK2IAB3,Keamanan Sistem Informasi,9,0.7992,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin
BBK2IAB3,Keamanan Sistem Informasi,10,0.799,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,1,0.8166,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,2,0.813,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,3,0.8112,li_4427868416,Software Engineer-EN,CAE,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,4,0.8099,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,5,0.8081,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,6,0.8062,li_4419558780,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,7,0.8062,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,8,0.8062,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,9,0.8062,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin
BBK2JAB3,Manajemen Proyek Sistem Informasi,10,0.8062,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin
BBK2LAB3,Penambangan Data,1,0.8174,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK2LAB3,Penambangan Data,2,0.8141,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2LAB3,Penambangan Data,3,0.8128,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2LAB3,Penambangan Data,4,0.8086,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK2LAB3,Penambangan Data,5,0.8084,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin
BBK2LAB3,Penambangan Data,6,0.8078,li_4424958127,Product Designer,Plot,linkedin
BBK2LAB3,Penambangan Data,7,0.8052,li_4372153003,Applied ML Engineer,Kognitos,linkedin
